Address,Balance,Share
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,3566600640.157268,35.67
0xd4b3dadd79cf633aa71057d34286a05b53d5bcec,539704861.111111,5.4
0x356df211c92d53a4e0ccfdd3125e87e8e570ef14,872207237.888889,8.72
0x01832c96c151d1e2be47dc971cd705a0b4952178,2500000000,25
0x87c9b05f25d42fa3af477e61fcdc74450d4d9d13,81036690,0.81
0x87def0cc7f520a931ce4d67aed8faabf4f15d2f1,92867275.2525,0.93
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,115043125.7470518,1.15
0xf948b2d02584a0727af9b1aa7d2421914f10d10a,74450601.21723948,0.74
0x5a1e405885cf6dbd835da44e68c3cd99ecbd5dcc,49990000,0.5
0x564286362092d8e7936f0549571a803b203aaced,61379083.66294864,0.61
0xd551234ae421e3bcba99a0da6d736074f22192ff,28116800.778825138,0.28
0xd4ce657bdb95abd8a9b245808cad6b1ed053593c,35686615,0.36
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,70327333.93671152,0.7
0x189563a8a03746b9106085445c47c464069866e7,30560363.18,0.31
0x8f190ca0b6f62242d2038ae9c244f439bd25f790,22500000,0.23
0x20312e96b1a0568ac31c6630844a962383cc66c2,31340181.50751126,0.31
0xfdb16996831753d5331ff813c29a93c76834a0ad,27542854.648682185,0.28
0x619c15c96223374c72b637eaad4055c82f7d6618,23600000,0.24
0x0109e2b77f6fdc7adc64a60fdfceb1e91232fb03,17174192,0.17
0x9cf837cbdf088c6fb2e0ffd8cc2571eab9710c95,20240000,0.2
0xf43a10c3beda94e4a2a20e12613058120298972c,21647205.406548582,0.22
0xdca1222d33a5ae1f37d052281e48381c0edcc58a,26300595.121323213,0.26
0x1bf10839a8cf970184b14ddebd17a69dc1957ba9,15000000,0.15
0x6992fc30e778a11c994b0a33089564a9e3672ca7,15722526.401,0.16
0xeee28d484628d41a82d01e21d12e2e78d69920da,21345426.647909753,0.21
0xd7fe554b1d08d6ee9fad927c89c9546077462f16,16560305.146159,0.17
0x0e293a9e57d22f6ec575b376e3e3bd8e642fd5fc,12399651.86545679,0.12
0x299bf2ed3f500deca7714ee91311ebb824e7ecff,13675729.843642617,0.14
0xc81f87ed5f6df1de85ef99837dbe18676bf1804c,16500000,0.17
0xe5260d64263ca006559de6e940248a45c02bd979,15000000,0.15
